Specimen Number,Genus,Species,Island,Collection Location,Collection Island,Other Location Name,Coordinates,Habitat,Latitude,Longitude,Depth_m,Collector,Date,Tissue sample,In situ photos,Skeleton photos,Comments
DB-GU-0041,Acropora,aculeus,Guam,"Marine Lab, Pago Bay",Guam,Marine Lab,,Exposed reef slope,13.425256,144.799568,15,Dave Burdick,2-Oct-15,Yes,Yes,,
DB-GU-0006,Acropora,aspera,Guam,Cocos Lagoon,Guam,Raymundo NSF-RAPID ACHANG-S site,,Reef flat with moderate water movement,13.246209,144.685648,1,Dave Burdick,5 Feb 2015,Yes,,Yes,
DB-GU-0009,Acropora,aspera,Guam,Cocos Lagoon,Guam,Raymundo NSF-RAPID ACHANG-S site,,Reef flat with moderate water movement,13.246432,144.685506,2,Dave Burdick,13 Feb 2014,Yes,Yes,,
DB-GU-0012,Acropora,austera,Guam,Pugua Patch Reef (Double Reef),Guam,,,"Semi-exposed fringing reef, partially protected by double reef formation; specimen found in depression in reef",13.597535,144.835953,2.5,Dave Burdick,7 May 2015,Yes,Yes,,
DB-GU-0028,Acropora,cerealis,Guam,"Marine Lab, Pago Bay",Guam,Marine Lab,,Exposed reef slope,13.426145,144.799384,5,Dave Burdick,9-Sep-15,Yes,Yes,,
DB-GU-0005,Acropora,cf. acuminata,Guam,Cocos Lagoon,Guam,Raymundo NSF-RAPID ACHANG-S site,,Reef flat with moderate water movement,13.246303,144.685392,1.5,Dave Burdick,5 Feb 2015,Yes,,Yes,"Thought was Randall's interpretation of A. acuminata, but is likely A. intermedia/nobilis"
DB-GU-0011,Acropora,cf. acuminata,Guam,Pugua Patch Reef (Double Reef),Guam,,,"Semi-exposed fringing reef, partially protected by double reef formation; specimen found in depression in reef",13.597679,144.836292,2,Dave Burdick,7 May 2015,Yes,Yes,,"Thought was Randall's interpretation of A. acuminata, but is likely A. intermedia/nobilis"
DB-GU-0017,Acropora,cf. azurea,Guam,"Marine Lab, Pago Bay",Guam,Marine Lab,,Exposed reef front,13.426772,144.798592,1.5,Dave Burdick,21 May 2015,Yes,Yes,,
DB-GU-0016,Acropora,cf. cophodactyla,Guam,"Marine Lab, Pago Bay",Guam,Marine Lab,,Exposed reef front,13.426691,144.798407,1.5,Dave Burdick,21 May 2015,Yes,Yes,,Possibly A. valida
DB-GU-0019,Acropora,cf. gemmifera,Guam,"Marine Lab, Pago Bay",Guam,Marine Lab,,Exposed reef front,13.426192,144.798492,4,Dave Burdick,21 May 2015,Yes,Yes,,
DB-GU-0021,Acropora,cf. globiceps,Guam,"Marine Lab, Pago Bay",Guam,Marine Lab,,Exposed reef front,13.426127,144.798282,4,Dave Burdick,21 May 2015,Yes,Yes,,
DB-GU-0051,Acropora,cf. granulosa,Guam,"Big Blue Shoals, Apra Harbor",,,,,13.447864,144.658467,20,Dave Burdick,1-Dec-16,Yes,Yes,,Occurred on west-facing slope; collection depth estimated (likely between 18-22)
DB-GU-0022,Acropora,cf. humilis,Guam,"Marine Lab, Pago Bay",Guam,Marine Lab,,Exposed reef front,13.425989,144.798850,4,Dave Burdick,21 May 2015,Yes,Yes,,
DB-GU-0068,Acropora,cf. intermedia,Guam,Double Reef,,,,,13.597647,144.835851,13,Dave Burdick,12-Dec-16,Yes,Yes,,"May be Dick's ""acuminata"""
DB-GU-0024,Acropora,cf. microclados,Guam,"Marine Lab, Pago Bay",Guam,Marine Lab,,Exposed reef slope,13.425001,144.799200,16,Dave Burdick,2 Sept 2015,Yes,Yes,,In situ photos taken after specimen was removed from colony
DB-GU-0038,Acropora,cf. multiacuta,Guam,"Marine Lab, Pago Bay",Guam,Marine Lab,,Exposed reef slope,13.426747,144.798487,1,Dave Burdick,2-Oct-15,Yes,Yes,,
DB-GU-0040,Acropora,cf. valida,Guam,"Marine Lab, Pago Bay",Guam,Marine Lab,,Exposed reef slope,13.426698,144.798325,1.5,Dave Burdick,2-Oct-15,Yes,Yes,,
DB-GU-0008,Acropora,cf. virgata,Guam,Cocos Lagoon,Guam,Raymundo NSF-RAPID ACHANG-S site,,Reef flat with moderate water movement,13.261321,144.660598,2,Dave Burdick,6 Feb 2015,Yes,,Yes,Possibly A. muricata
DB-GU-0066,Acropora,granulosa,Guam,"Western Shoals, Apra Harbor",,,,,13.449742,144.654391,15,Dave Burdick,9-Dec-16,Yes,Yes,,
DB-GU-0049,Acropora,latistella,Guam,"Big Blue Shoals, Apra Harbor",,,,,13.447350,144.659510,1.5,Dave Burdick,1-Dec-16,Yes,No,,Occurred on reef flat along west side of shoals
DB-GU-0048,Acropora,muricata,Guam,"Big Blue Shoals, Apra Harbor",,,,,13.447350,144.659510,1.5,Dave Burdick,1-Dec-16,Yes,No,,Occurred on reef flat along west side of shoals
DB-GU-0025,Acropora,quelchi,Guam,"Marine Lab, Pago Bay",Guam,Marine Lab,,Exposed reef slope,13.425629,144.799356,15,Dave Burdick,2 Sept 2015,Yes,Yes,,In situ photos taken after specimen was chiseled free from substrate
DB-GU-0026,Acropora,selago,Guam,"Marine Lab, Pago Bay",Guam,Marine Lab,,Exposed reef slope,13.425455,144.799455,10,Dave Burdick,2 Sept 2015,Yes,Yes,,In situ photos taken after specimen was chiseled free from substrate
DB-GU-0036,Acropora,sp.,Guam,Apra Harbor Mound U9,Guam,,,Lagoonal patch reef,13.449148,144.651751,20,Dave Burdick,22-Sep-15,No,No,,"Specimen was recently dead, little algal growth on white, tissue-less skeleton; may be part of same colony as specimen DB-GU-037; in situ photos available of living colonies found within 0.5 m of collected specimens"
DB-GU-0037,Acropora,sp.,Guam,Apra Harbor Mound U9,Guam,,,Lagoonal patch reef,13.449148,144.651751,20,Dave Burdick,22-Sep-15,No,No,,"Specimen was recently dead, little algal growth on white, tissue-less skeleton; may be part of same colony as specimen DB-GU-036; in situ photos available of living colonies found within 0.5 m of collected specimens"
DB-GU-0055,Acropora,sp.,Guam,Hap's Reef,,,,,13.394395,144.653884,14,Dave Burdick,6-Dec-16,Yes,Yes,,"On reef terrace adjacent to base of Hap's Reef, north side"
DB-GU-0063,Acropora,sp.,Guam,"Mound U9, Apra Harbor",,,,,13.449313,144.651871,16,Dave Burdick,9-Dec-16,Yes,Yes,,Branch tip only; entire specimen preserved in ethanol
DB-GU-0064,Acropora,sp.,Guam,"Mound U9, Apra Harbor",,,,,13.449373,144.651886,16,Dave Burdick,9-Dec-16,Yes,Yes,,
DB-GU-0015,Acropora,sp. (“obtusicaulis”?),Guam,"Marine Lab, Pago Bay",Guam,Marine Lab,,Exposed reef front,13.426634,144.798245,1.5,Dave Burdick,21 May 2015,Yes,Yes,,
DB-GU-0042,Acropora,surculosa,Guam,"Marine Lab, Pago Bay",Guam,Marine Lab,,Exposed reef slope,13.426192,144.798556,5,Dave Burdick,2-Oct-15,Yes,Yes,,
DB-GU-0069,Acropora,vaughani,Guam,"Gabgab II, Apra Harbor",,,,,13.445736,144.643812,22,Dave Burdick,13-Dec-16,Yes,Yes,,
DB-GU-0027,Acropora,verweyi,Guam,"Marine Lab, Pago Bay",Guam,Marine Lab,,Exposed reef slope,13.426350,144.799358,3,Dave Burdick,9-Sep-15,Yes,Yes,,
DB-GU-0020,Acropora ,sp.,Guam,"Marine Lab, Pago Bay",Guam,Marine Lab,,Exposed reef front,13.426286,144.798321,3,Dave Burdick,21 May 2015,Yes,Yes,,
DB-GU-0084a,Ctenactis,echinata,Guam,"Ski Beach, Apra Harbor",,,,,13.454294,144.666083,15,Dave Burdick,13-Dec-16,Yes,Yes,,
DB-GU-0084b,Ctenactis,echinata,Guam,"Ski Beach, Apra Harbor",,,,,13.454294,144.666083,15,Dave Burdick,13-Dec-16,Yes,Yes,,
DB-GU-0074,Cyphastrea,agassizi,Guam,"Cabras Breakwater, Apra Harbor",,,,,13.458756,144.631273,9,Dave Burdick,13-Dec-16,Yes,Yes,,
DB-GU-0029,Cyphastrea,serailia,Guam,"Marine Lab, Pago Bay",Guam,Marine Lab,,Exposed reef slope,13.425113,144.799369,13,Dave Burdick,9-Sep-15,Yes,Yes,,
DB-GU-0046,Echinophyllia,aspera,Guam,"Big Blue Shoals, Apra Harbor",,,,,13.447915,144.658463,20,Dave Burdick,1-Dec-16,Yes,Yes,,Occurred on west-facing slope; collection depth estimated (likely between 18-22)
DB-GU-0033,Favia,cf. favus,Guam,"Marine Lab, Pago Bay",Guam,Marine Lab,,Exposed reef slope,13.425203,144.799595,13,Dave Burdick,9-Sep-15,Yes,Yes,,
DB-GU-0035,Favia,danae,Guam,"Marine Lab, Pago Bay",Guam,Marine Lab,,Exposed reef slope,13.425283,144.799675,13,Dave Burdick,9-Sep-15,Yes,Yes,,
DB-GU-0034,Favia,favus,Guam,"Marine Lab, Pago Bay",Guam,Marine Lab,,Exposed reef slope,13.425189,144.799798,13,Dave Burdick,9-Sep-15,Yes,Yes,,
DB-GU-0085,Fungia,concinna,Guam,"Ski Beach, Apra Harbor",,,,,13.454250,144.665974,15,Dave Burdick,13-Dec-16,Yes,Yes,,
DB-GU-0061,Fungia,sp.,Guam,"Mound U9, Apra Harbor",,,,,13.449145,144.651848,15,Dave Burdick,9-Dec-16,Yes,Yes,,
DB-GU-0043,Galaxea,fascicularis,Guam,"Marine Lab, Pago Bay",Guam,Marine Lab,,Exposed reef slope,13.425242,144.799478,12,Dave Burdick,2-Oct-15,Yes,Yes,,
